id,question,option1,option2,option3,option4,answer,difficultyid,question,option1,option2,option3,option4,answer,difficulty
50,Which input type selects file?,file,upload,browse,attach,file,medium
51,Which attribute validates required field?,required,validate,mandatory,check,required,medium
52,Which attribute sets placeholder text?,placeholder,hint,label,name,placeholder,medium
53,Which tag creates dropdown?,<select>,<option>,<list>,<dropdown>,<select>,medium
54,Which tag defines option?,<option>,<select>,<list>,<item>,<option>,medium
55,Which tag groups options?,<optgroup>,<group>,<options>,<set>,<optgroup>,medium
56,Which tag embeds SVG?,<svg>,<vector>,<draw>,<shape>,<svg>,medium
57,Which tag embeds canvas?,<canvas>,<draw>,<paint>,<graphic>,<canvas>,medium
58,Which attribute sets element id?,id,class,name,key,id,medium
59,Which attribute sets CSS class?,class,id,style,css,class,medium
60,Which attribute applies inline CSS?,style,class,css,format,style,medium
61,Which HTML5 API stores data offline?,localStorage,cookies,session,cache,localStorage,hard
62,Difference between localStorage & sessionStorage?,Persistence,Size,Speed,Security,Persistence,hard
63,Which tag supports drag & drop?,draggable,drag,drop,move,draggable,hard
64,Which attribute enables drag?,draggable,drag,move,drop,draggable,hard
65,Which API gives geolocation?,Geolocation API,Location API,GPS API,Map API,Geolocation API,hard
66,Which tag defines custom element?,<template>,<custom>,<element>,<define>,<template>,hard
67,Which API supports offline apps?,Service Worker,AppCache,Cache API,Worker,Service Worker,hard
68,Which element supports shadow DOM?,Web Components,DOM,HTML,CSS,Web Components,hard
69,Which attribute prevents form validation?,novalidate,disable,ignore,skip,novalidate,hard
70,Which attribute groups radio buttons?,name,id,class,group,name,hard
71,Which tag defines progress bar?,<progress>,<meter>,<range>,<bar>,<progress>,hard
72,Which tag defines scalar measurement?,<meter>,<progress>,<range>,<bar>,<meter>,hard
73,Which tag handles bidirectional text?,<bdi>,<bdo>,<dir>,<rtl>,<bdi>,hard
74,Which tag overrides text direction?,<bdo>,<bdi>,<dir>,<rtl>,<bdo>,hard
75,Which tag defines figure caption?,<figcaption>,<figure>,<caption>,<img>,<figcaption>,hard
76,Which tag groups media with caption?,<figure>,<img>,<media>,<caption>,<figure>,hard
77,Which attribute specifies async script?,async,defer,delay,load,async,hard
78,Which attribute delays script execution?,defer,async,wait,pause,defer,hard
79,Which API handles background tasks?,Web Workers,Threads,Processes,Async,Web Workers,hard
80,Which attribute secures iframe?,sandbox,secure,lock,protect,sandbox,hard
81,Which element defines dialog box?,<dialog>,<popup>,<modal>,<box>,<dialog>,hard
82,Which attribute allows fullscreen?,allowfullscreen,fullscreen,allow,screen,allowfullscreen,hard
83,Which tag embeds PDF?,<embed>,<pdf>,<object>,<iframe>,<embed>,hard
84,Which element defines output?,<output>,<result>,<print>,<value>,<output>,hard
85,Which tag defines data list?,<datalist>,<list>,<options>,<select>,<datalist>,hard
86,Which attribute associates list?,list,id,name,data,list,hard
87,Which element tracks time?,<time>,<date>,<clock>,<timer>,<time>,hard
88,Which tag marks highlighted text?,<mark>,<highlight>,<strong>,<em>,<mark>,hard
89,Which tag hides content?,hidden,display,none,invisible,hidden,hard
90,Which attribute defines MIME type?,type,mime,format,encoding,type,hard
91,Which attribute is used to provide an image path?,link,href,src,alt,src,easy
92,Which tag is used to define the title of a web page?,<meta>,<head>,<title>,<body>,<title>,easy
93,Which tag is used to create a table header cell?,<td>,<th>,<tr>,<thead>,<th>,easy
94,Which tag is used to create a horizontal line?,<line>,<hr>,<br>,<hl>,<hr>,easy
95,Which input type is used for a password field?,text,hidden,password,secure,password,medium
96,Which tag is used to group related form elements?,<group>,<fieldset>,<section>,<div>,<fieldset>,medium
97,Which attribute is used to open a link in a new tab?,open,new,target="_blank",href="_new",target="_blank",medium
98,What is the correct HTML5 doctype declaration?,<!DOCTYPE HTML PUBLIC>,<!DOCTYPE html>,<DOCTYPE html>,<!HTML>,<!DOCTYPE html>,medium
99,Which tag is used to embed audio in HTML5?,<sound>,<music>,<audio>,<media>,<audio>,medium
100,Which attribute is used to merge table columns?,rowspan,colspan,merge,span,colspan,medium
101,Which HTML5 element is used to draw graphics using JavaScript?,<svg>,<canvas>,<graphic>,<draw>,<canvas>,hard
102,Which tag is used to define the main content of a document?,<body>,<main>,<section>,<article>,<main>,hard
103,Which HTML attribute is used to improve accessibility for screen readers?,title,alt,aria-label,accesskey,aria-label,hard
104,What happens if the alt attribute is missing in an <img> tag?,Image will not load,Browser throws error,Screen readers get no description,Page will not render,Screen readers get no description,hard
105,Which attribute makes an input field read-only but still selectable?,disabled,readonly,hidden,locked,readonly,hard

