id,question,option1,option2,option3,option4,answer,difficulty
93,Which SQL statement is used to update existing data?,MODIFY,CHANGE,UPDATE,ALTER,UPDATE,easy
94,Which data type is used to store text in SQL?,INT,CHAR / VARCHAR,FLOAT,DATE,CHAR / VARCHAR,easy
95,Which SQL function returns the largest value?,MAX(),TOP(),HIGH(),LARGE(),MAX(),easy
96,What is the correct order of SQL query execution?,SELECT → FROM → WHERE → GROUP BY → HAVING → ORDER BY,FROM → WHERE → GROUP BY → HAVING → SELECT → ORDER BY,FROM → SELECT → WHERE → GROUP BY → ORDER BY → HAVING,SELECT → WHERE → FROM → GROUP BY → ORDER BY → HAVING,FROM → WHERE → GROUP BY → HAVING → SELECT → ORDER BY,medium
97,What will this query return SELECT COUNT(*) FROM employees;?,Number of columns,Number of non-null rows,Total number of rows,Sum of employee IDs,Total number of rows,medium
98,Which function returns the current date in SQL?,TODAY(),CURDATE(),CURRENT_DATE,GETDATE(),CURRENT_DATE,medium
99,What does the BETWEEN operator do?,Checks equality,Checks range (inclusive),Checks pattern,Checks list values,Checks range (inclusive),medium
100,Which JOIN returns all records when there is a match in either table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,FULL OUTER JOIN,medium
101,What will this query return SELECT COUNT(emp_id) FROM employees;?,Total rows including NULL,Count of non-NULL emp_id values,Total columns,Sum of emp_id,Count of non-NULL emp_id values,hard
102,Which index improves the speed of data retrieval?,UNIQUE index,PRIMARY index,CLUSTERED index,All of the above,All of the above,hard
103,What is a correlated subquery?,Subquery independent of outer query,Subquery executed only once,Subquery that depends on outer query,Subquery without SELECT,Subquery that depends on outer query,hard
104,What happens if you use WHERE with an aggregate function?,Works normally,Syntax error,Filters grouped data,Same as HAVING,Syntax error,hard
105,Which statement is TRUE about NULL in SQL?,NULL = 0,NULL = '',NULL is not equal to anything,NULL is same as FALSE,NULL is not equal to anything,hard


